index,language,lable
21281,agrahiccal entuceyyumenn enikkariyilla ,malayalam
21282,baruttive endu nodalu ,kannada
21283,kismat wala pyaar ,hindi
21284,shocked me more ,english
21285,bers midiyam ginne ,telugu
21286,enenil itu mikavum ,tamil
21287,nan ippealum saraye ,malayalam
21288,alli mattu illi ,kannada
21289,nahin kya karu ,hindi
21290,than the anchorman ,english
21291,nilva kuda cala ,telugu
21292,arumaiyaka irukkiratu marrum ,tamil
21293,kantittilla. avalkk entan ,malayalam
21294,"nodidanu, halo oh ",kannada
21295,dil ki sun ,hindi
21296,when he said ,english
21297,"vediga undi, civaraku ",telugu
21298,innum pala ciranta ,tamil
21299,kulappamenn enikk urappilla ,malayalam
21300,estu sundaravada hadannu ,kannada
21301,le kabhi kabhi ,hindi
21302,she was in ,english
21303,bebi bers cinna ,telugu
21304,poriyiyal valimuraikal velaiyil ,tamil
21305,pakse cila sara ,malayalam
21306,haduttane endu rajakumaranu ,kannada
21307,jo dikhta hai ,hindi
21308,prison she had ,english
21309,"ginne nundi prayatnincindi, ",telugu
21310,ullana ivai anaittum ,tamil
21311,magan oru karyam ,malayalam
21312,gamanisidanu. gopuradinda banda ,kannada
21313,vo hota nahi ,hindi
21314,been involved in ,english
21315,i byareji sariggane ,telugu
21316,this.co in inaiyatalattil ,tamil
21317,aval orikkal oru ,malayalam
21318,sundara dhvaniyu gopuravannu ,kannada
21319,aur dil kabhi ,hindi
21320,a bank robbery ,english
21321,undi mariyu ame ,telugu
21322,ullana ti'espa cantippirku ,tamil
21323,bhrantan kamuki ayirunnu ,malayalam
21324,hattalu bayasi hittannu ,kannada
21325,bhi galat jawab ,hindi
21326,and its toll ,english
21327,ginne mottam tinnadi ,telugu
21328,carru appal amaintiruppataip ,tamil
21329,aval tikanna kamuki ,malayalam
21330,hudukide adare avalu ,kannada
21331,nahin daata kya ,hindi
21332,"over $1,000,000 the ",english
21333,goldilaks ledu alasipoyi ,telugu
21334,parunkal nanri marukka ,tamil
21335,ayirunnilla aval kealin ,malayalam
21336,gabariyinda manege hindirugidalu ,kannada
21337,matlab hai aap ,hindi
21338,police had caught ,english
21339,oka gadilo uncina ,telugu
21340,mutiyata nakarattil marrum ,tamil
21341,anenn nan adyam ,malayalam
21342,rapunjel hadu avana ,kannada
21343,jaise kismat wala ,hindi
21344,her and she ,english
21345,3 kurcilu cusindi ,telugu
21346,pihecke atukkumati kutiyiruppukal ,tamil
21347,visvasiccirunnu enre am'ma ,malayalam
21348,"hrdayavannu tumba sparsisittu, ",kannada
21349,pyaar samajh ne ,hindi
21350,would be serving ,english
21351,i kurci cala ,telugu
21352,kakita upayokap payanpatukal ,tamil
21353,ninakkayi meyilil entea ,malayalam
21354,pratidina avanu rapunjel ,kannada
21355,ki bhool kar ,hindi
21356,a sentence of ,english
21357,peddadi lets kurci ,telugu
21358,ullana enpatai nan ,tamil
21359,vannu varunnu madam ,malayalam
21360,hadannu kelalu kadige ,kannada
21361,baithi hai pyar ,hindi
21362,6 years i ,english
21363,kuda telivitakkuvadi best ,telugu
21364,virumpinen. haitarapat am ,tamil
21365,nan vegam talekk ,malayalam
21366,hogalarambhisidanu ondu dina ,kannada
21367,hai hi nahi ,hindi
21368,was somewhat relieved ,english
21369,cair sarigga undi ,telugu
21370,"am am, nankal ",tamil
21371,peakumpeal parannu nan ,malayalam
21372,avanu marada hinde ,kannada
21373,tum itna yakeen ,hindi
21374,as i wouldn't ,english
21375,pata cat virigindi ,telugu
21376,niccayamaka nankal kotukalai ,tamil
21377,daining rumil ettiyappeal ,malayalam
21378,nintidda avanu matagati ,kannada
21379,"join 2,000,000 bigamist ",hindi
21380,have to worry ,english
21381,goldilaks cala alasipoyindi ,telugu
21382,"varaikirom, tayarippalar marrum ",tamil
21383,aval enre svapna ,malayalam
21384,baruvudannu nodidaga avalu ,kannada
21385,who are investing ,hindi
21386,about seeing her ,english
21387,kabatti ame paiki ,telugu
21388,"natikarai unkalukkut teriyum, ",tamil
21389,kealejil ninn oru ,malayalam
21390,helida matannu kelidanu ,kannada
21391,online with start ,hindi
21392,for another 6 ,english
21393,"vellindi, ame modati ",telugu
21394,nankal eppolutum paniyarri ,tamil
21395,kavar enre kaiyyil ,malayalam
21396,rapunjel rapunjel ninna ,kannada
21397,trading today with ,hindi
21398,years but i ,english
21399,bed‌pai kurcunna gadilo ,telugu
21400,varukirom eppotum cantai ,tamil
21401,tannu it nan ,malayalam
21402,kudalannu nanage ilisi ,kannada
21403,minimal sai sakti ,hindi
21404,was also saddened ,english
21405,3 bed‌lu cusindi ,telugu
21406,"vilai ullatu, avar ",tamil
21407,kattirikkunna katt ayirunnu ,malayalam
21408,nantara rapunjel tanna ,kannada
21409,ho kid room ,hindi
21410,by how she ,english
21411,mariyu i bed ,telugu
21412,panam celuttukirar atu ,tamil
21413,it nan paribhrantiyeate ,malayalam
21414,uddavada sundaravada kudalannu ,kannada
21415,sir pyar nahi ,hindi
21416,turned out she ,english
21417,cala gattiga undi ,telugu
21418,"enakkuk kotukkavillai, patam ",tamil
21419,etutt pettenn it ,malayalam
21420,kelage ilisidalu mattu ,kannada
21421,karta agar aisa ,hindi
21422,was a maniac ,english
21423,i bed cala ,telugu
21424,"evvalavu nanraka otiyiruntalum, ",tamil
21425,turann nan akatt ,malayalam
21426,matagati gopurada mele ,kannada
21427,hi to bar ,hindi
21428,was it because ,english
21429,"mrduvuga undi, i ",telugu
21430,unkalukku ponas tallupati ,tamil
21431,kayariyappeal nan aiskrimil ,malayalam
21432,hattidalu oh aduve ,kannada
21433,bar kude sasol ,hindi
21434,of me is ,english
21435,bed cala mrduvuga ,telugu
21436,"taravillai, nan atikamakap ",tamil
21437,kayari nan valare ,malayalam
21438,hattalu dari tavar ,kannada
21439,nahin karte jab ,hindi
21440,that why she ,english
21441,undi i bed ,telugu
21442,perukap povatillai kotikal ,tamil
21443,avesabharitanayi otuvil i ,malayalam
21444,nanu marudina ade ,kannada
21445,hum kisi se ,hindi
21446,acted so crazy ,english
21447,ventane sarainadi 3 ,telugu
21448,tiviramana tolilmurai variyaip ,tamil
21449,ceriya pattanattil ninn ,malayalam
21450,riti maduttene adu ,kannada
21451,sacha pyar karte ,hindi
21452,had her hatred ,english
21453,elugubantlu penni roju ,telugu
21454,"pola varukiratu, unmaiyil ",tamil
21455,mari kampyuttar sayans ,malayalam
21456,kattaleyagalu prarambhisidaga avanu ,kannada
21457,hai to uske ,hindi
21458,and revenge for ,english
21459,evaru intiki vaccaru ,telugu
21460,enkalitam 3vatu napar ,tamil
21461,aibi pathikkan kealejilekk ,malayalam
21462,gopurakke hodanu rabin ,kannada
21463,sath rehne se ,hindi
21464,me driven her ,english
21465,na ciluka na ,telugu
21466,irukkirar avar tiru ,tamil
21467,peakum ​​svantamayi oru ,malayalam
21468,svayam rapunjel nim'ma ,kannada
21469,iska pata nahi ,hindi
21470,insane and then ,english
21471,ganji evaru tintunnarani ,telugu
21472,vacilica mikavum kalaikalin ,tamil
21473,jivitam tutannan 2000 ,malayalam
21474,kudalannu nanage kelage ,kannada
21475,chalta ashley sacha ,hindi
21476,i started a ,english
21477,nanna elugubantini adigindi ,telugu
21478,"nerunkiya kuttali, atanal ",tamil
21479,maililadhikam yatra ceyyunna ,malayalam
21480,bidi taksana kudalu ,kannada
21481,pyar to hai ,hindi
21482,fear for the ,english
21483,am'ma na ganji ,telugu
21484,avar enkal iruvarukkum ,tamil
21485,enikk valare asvasam ,malayalam
21486,kelage bidditu mattu ,kannada
21487,jiske aaspas hone ,hindi
21488,future what about ,english
21489,evaru tintunnarani adigadu ,telugu
21490,itaiye oru catarana ,tamil
21491,teanni otuvil kuracc ,malayalam
21492,rajakumara melakke eridanu ,kannada
21493,ka ehsaas har ,hindi
21494,when she was ,english
21495,naku idi kavali ,telugu
21496,"manitar, avar avarutaiya ",tamil
21497,alcakalkk sesam nan ,malayalam
21498,oh nivu yaru ,kannada
21499,waqt hota hai ,hindi
21500,released from prison ,english
21501,bebi bebi evaru ,telugu
21502,"etirparppukalaic colkirar, enakku ",tamil
21503,svatantranayi enre kutumbatte ,malayalam
21504,hoguttiri nanna jivanadalli ,kannada
21505,ki pyar bhari ,hindi
21506,one of her ,english
21507,na kurcilo kurcunnaru ,telugu
21508,"ennutaiyatu kitaittatu, piraku ",tamil
21509,vittupeakan nan tayyarayi. ,malayalam
21510,nanu nodida atyanta ,kannada
21511,baatein wo uske ,hindi
21512,time spent there ,english
21513,nanna ber intlo ,telugu
21514,"avarutan peccuvarttai natattalam, ",tamil
21515,vimanam parannuyarumpeal eyarpearttil ,malayalam
21516,sundara kan'ye ninna ,kannada
21517,chehre mein kho ,hindi
21518,just feel her ,english
21519,evaru na kaburlalo ,telugu
21520,nan avarkalutan peccuvarttai ,tamil
21521,enne kanan vannatan ,malayalam
21522,mele nanu ninagagi ,kannada
21523,jati hai aur ,hindi
21524,hate retorts me ,english
21525,kurcunnaru am'ma ascaryanga ,telugu
21526,"natattukiren, en appavutan ",tamil
21527,oru kealej vidyart'thiyenna ,malayalam
21528,nanna hrdayavannu kaledukondiddene ,kannada
21529,mummy kehti hai ,hindi
21530,what if she ,english
21531,undi a na ,telugu
21532,"peccuvarttai natattuvom, am ",tamil
21533,nilayil nan binnu ,malayalam
21534,ninu nannannu maduveyaguveya ,kannada
21535,kya hoga jara ,hindi
21536,came out wanting ,english
21537,kurcipai kurcunna elugubanti ,telugu
21538,anta peraiyum nan ,tamil
21539,svatantryam sankalppiccat nan ,malayalam
21540,ninu nanna hendati ,kannada
21541,fir pretty tough ,hindi
21542,to seek revenge ,english
21543,virigipoyindi bebi ber‌ ,telugu
21544,ninaikkavillai 23 natkalukkup ,tamil
21545,kyampasil ettiyappeal enre ,malayalam
21546,mattu ninu nannannu ,kannada
21547,kyon ki chali ,hindi
21548,again i still ,english
21549,ani aricaru. bebi ,telugu
21550,piraku nankal oruvarukkoruvar ,tamil
21551,ceyyenta karyannalute pattikayile ,malayalam
21552,nanna rajyakke serisu ,kannada
21553,ja rahi hu ,hindi
21554,don't know i ,english
21555,ber goldilaks melkoni ,telugu
21556,"atikam pecukirom, am ",tamil
21557,erravum pradhanappetta jeali ,malayalam
21558,o nanna snehitare ,kannada
21559,alvira ye socha ,hindi
21560,still haven't seen ,english
21561,"3 elugubantlanu cusindi, ",telugu
21562,unkalutan avar tayarikkum ,tamil
21563,nan marannuvenn nan ,malayalam
21564,adu sadhya endu ,kannada
21565,hi rahi hoti ,hindi
21566,sarah i'm not ,english
21567,ame mancam mida ,telugu
21568,patankalil avar unkalaic ,tamil
21569,manas'silakki oru dear ,malayalam
21570,nanu bayasuttene adare ,kannada
21571,hai kitab achanak ,hindi
21572,sure what was ,english
21573,nundi duki adavilo ,telugu
21574,celavalippar enpatu cataranamaka ,tamil
21575,rumil rajisrrar ceyta ,malayalam
21576,adu geddide'i gopuradinda ,kannada
21577,gaadee ruk jati ,hindi
21578,wrong with her ,english
21579,parugettindi mariyu ame ,telugu
21580,etuttuk kollappattata allatu ,tamil
21581,nan enre kantetti ,malayalam
21582,horage hoguvudilla mattu ,kannada
21583,hai aur wo ,hindi
21584,but one things ,english
21585,goldilaks civariga tirigi ,telugu
21586,unkalukku appati etuvum ,tamil
21587,srrudanr senrarilekkulla vali ,malayalam
21588,avalu ninna bagge ,kannada
21589,kehti hai kya ,hindi
21590,for certain sarah ,english
21591,"raledu, manalage dop ",telugu
21592,"teriyatu, anal unmaiyil ",tamil
21593,ella murikalum purnnamayi ,malayalam
21594,tilidare avalu ninnannu ,kannada
21595,hua gadi ki ,hindi
21596,magan whoever she ,english
21597,"ledu, memu dari ",telugu
21598,nankal kuraivakave velai ,tamil
21599,bukkucey‌tu ten serr ,malayalam
21600,kolluttale nanage hedaruvudilla ,kannada
21601,raat gayi main ,hindi
21602,once was one ,english
21603,tappipoledu. ippatike kyamp‌lo ,telugu
21604,ceykirom varutankalukku orumurai ,tamil
21605,cey‌ta oru vrd'dhaye ,malayalam
21606,nivu nannondige baruttiddiri ,kannada
21607,check kar thapki ,hindi
21608,crazy girlfriend and ,english
21609,tay memu ma ,telugu
21610,hiroyin pakam allatu ,tamil
21611,sahayikkan kaliyumea enn ,malayalam
21612,iga banni snehitarellaru ,kannada
21613,bahaaraa car gadi ,hindi
21614,she wasn't the ,english
21615,kyamp nundi cala ,telugu
21616,patankal enru unkalukkut ,tamil
21617,ceadiccu oru mesappuratt ,malayalam
21618,hogona nanu nim'mondige ,kannada
21619,ko check karta ,hindi
21620,perfect girlfriend i ,english
21621,duram vaccamu memu ,telugu
21622,"teriyum, nan avarutan ",tamil
21623,irikkunna oru vrd'dhayan ,malayalam
21624,hogalu sid'dha adare ,kannada
21625,hai kehta hai ,hindi
21626,had initially believed ,english
21627,eppudu tirigi veltamu ,telugu
21628,"oru patam ceyven, ",tamil
21629,ippeal nan entan ,malayalam
21630,nanage gottilla nanu ,kannada
21631,kari kharab ho ,hindi
21632,her to be ,english
21633,naku akaliga undi ,telugu
21634,atanal oru nalla ,tamil
21635,ceyyentat enikk tamasikkan ,malayalam
21636,nanna kudalannu kelage ,kannada
21637,gayi hai aise ,hindi
21638,colin something came ,english
21639,a berrilanu phul ,telugu
21640,prajekt iruntal nankal ,tamil
21641,oritavumilla a nimisam ,malayalam
21642,bittare hege iliyuvudu ,kannada
21643,kaise mai itna ,hindi
21644,in the mail ,english
21645,ceyadaniki konta samayam ,telugu
21646,"eppotavatu varuvatillai, illai ",tamil
21647,oru penkutti natannu. ,malayalam
21648,nantara nanu hege ,kannada
21649,tu paidal neechal ,hindi
21650,for you my ,english
21651,"padutundi yam, nenu ",telugu
21652,nan veliyil eppati ,tamil
21653,akatt peayi hay ,malayalam
21654,iliyuvudu sari ninu ,kannada
21655,sakti please kiss ,hindi
21656,mum shouted coming ,english
21657,vatipai cikitsa ceyagalanani ,telugu
21658,velai ceykiren enpatu ,tamil
21659,nan megan nan ,malayalam
21660,iga hogabeku matagati ,kannada
21661,mechanic ko bulao ,hindi
21662,maam i said ,english
21663,anukuntunnanu tophu apandi ,telugu
21664,"mikavum tolilmuraiyanatu, ninkal ",tamil
21665,vatakaykk etukkukayan kampasilum ,malayalam
21666,sighradalle baruttale haudu ,kannada
21667,mechanic camilla impossible ,hindi
21668,as i rush ,english
21669,miru a berrilu ,telugu
21670,potuvaka unkal vetattai ,tamil
21671,avite oru adhika ,malayalam
21672,cintisabeda rapunjel nanu ,kannada
21673,peddada karna padega ,hindi
21674,downstairs when i ,english
21675,ento naku telusu ,telugu
21676,eppati tervu ceyvirkal? ,tamil
21677,muriyumunt aval nannayi ,malayalam
21678,enannadaru yocisi nale ,kannada
21679,kya ohh no ,hindi
21680,reached the dining ,english
21681,kani avi visapuritam ,telugu
21682,ippotu ninkal enna ,tamil
21683,punciriccu ninnal oru ,malayalam
21684,hintiruguttene a ksana ,kannada
21685,aap ke saath ,hindi
21686,room she handed ,english
21687,"kavaccu, miru adavi ",telugu
21688,ceykirirkal enpatil innum ,tamil
21689,penkuttiyeatum oru aparicitaneatum ,malayalam
21690,rajakumara gopurada kelage ,kannada
21691,maybe mogilicherla mushkil ,hindi
21692,me an envelope ,english
21693,madhyalo unnaru visapuritam ,telugu
21694,atika aluttam irukkum ,tamil
21695,oppam jivikkunnatil ninnalkk ,malayalam
21696,hattida matagati avanannu ,kannada
21697,hota hai magar ,hindi
21698,addressed from my ,english
21699,"randi, cala endaga ",telugu
21700,"atuttataka, ninkal enkal ",tamil
21701,pras‌namillenkil aval iviteyunt ,malayalam
21702,nodidalu oh addarinda ,kannada
21703,jobs offer me ,hindi
21704,dream college this ,english
21705,unna roju kyamp‌ku ,telugu
21706,valkkaiyil mikavum piramantamana ,tamil
21707,enikk pakaram ninnalkk ,malayalam
21708,avanu rapunjel‌nannu karedukondu ,kannada
21709,soti ho to ,hindi
21710,was the letter ,english
21711,tirigi vastunnappudu nenu ,telugu
21712,"onrai valankiyatal, aluttam ",tamil
21713,avaleat vikaramuntenn nan ,malayalam
21714,hogabekendu avanu bayasuttane ,kannada
21715,suffer khuda khuda ,hindi
21716,i have been ,english
21717,miku oka katha ,telugu
21718,"illai enral, nan ",tamil
21719,karuti aval parannu ,malayalam
21720,avaribbaru idakke pavatisabekaguttade ,kannada
21721,song jaata hai ,hindi
21722,waiting for i ,english
21723,cebutanu oka nakka ,telugu
21724,ataip parri etuttuk ,tamil
21725,nan enre nalkkavala ,malayalam
21726,matagati rapunjel‌ge tanna ,kannada
21727,preet ke kahne ,hindi
21728,grabbed it nervously ,english
21729,edarilo akalito mariyu ,telugu
21730,"kolla virumpavillai, nan ",tamil
21731,upeksicc magane neakki. ,malayalam
21732,kudalannu kelagilisuvante kelida ,kannada
21733,par alvira bahar ,hindi
21734,and open this ,english
21735,dahanto nadustondi mailla ,telugu
21736,"virumpavillai, nan etukka ",tamil
21737,ninnal oru nalla ,malayalam
21738,"nantara gopuravannu hattidalu, ",kannada
21739,nikal jati hai ,hindi
21740,quickly as i ,english
21741,koddi isuka mariyu ,telugu
21742,"virumpavillai, anta aluttattai ",tamil
21743,vyaktiyan ellavarum enne ,malayalam
21744,visvasaghatuka hudugi ninu ,kannada
21745,aur uske saath ,hindi
21746,could i got ,english
21747,banjaru rallu enta ,telugu
21748,"etukka ventam, enenral ",tamil
21749,terrid'dharikkunnilla pakse sandrayum ,malayalam
21750,nanage droha maduva ,kannada
21751,chalte chalte khilte ,hindi
21752,in i got ,english
21753,vediga undo nenu ,telugu
21754,katavul inke enna ,tamil
21755,nanum orutaram derring ,malayalam
21756,bagge hege yocisabahudu ,kannada
21757,hai preet singh ,hindi
21758,in ice cream ,english
21759,"cudagaliganu, naku niru ",telugu
21760,irukkirar enpatutan unmai. ,tamil
21761,natattukayan nan avaleat ,malayalam
21762,idakkagi matagati ondu ,kannada
21763,ke saath paddle ,hindi
21764,i was so ,english
21765,cala avasaram ani ,telugu
21766,nankal enkal velaiyil ,tamil
21767,valare vegam enre ,malayalam
21768,dodda jodi kattarigalannu ,kannada
21769,samay play kitna ,hindi
21770,excited i would ,english
21771,atanu nadustune unnadu ,telugu
21772,"mikavum unmaiyakac ceyalpatukirom, ",tamil
21773,kamukiyakan avasyappetunnatinekkuricc cintikkukayayirunnu ,malayalam
21774,tegedukondu avala uddavada ,kannada
21775,khubsurat lag gaya ,hindi
21776,finally be moving ,english
21777,mariyu akasmattuga atanu ,telugu
21778,atuvum nam'mai alaittuc ,tamil
21779,entayalum ninnal enre ,malayalam
21780,sundaravada udupugalannu kattarisidalu ,kannada
21781,apne aap nahi ,hindi
21782,out of this ,english
21783,"oka bavini cusadu, ",telugu
21784,cellum enru nan ,tamil
21785,taramanenn nan karutunnilla' ,malayalam
21786,tevaluva mattu duhkhadalli ,kannada
21787,tumko ho mujhe ,hindi
21788,small town going ,english
21789,devuniki krtajnatalu teluputu ,telugu
21790,ninaikkiren. ninkal terntetukkum ,tamil
21791,ksamikkanam megan nan ,malayalam
21792,badukalu matagatiyu rapunjel ,kannada
21793,thanks kavita masons ,hindi
21794,to college to ,english
21795,nenu civaraku oka ,telugu
21796,velaikku unmai enru ,tamil
21797,parannu aval pettenn ,malayalam
21798,annu marubhumiyalli ekangiyagi ,kannada
21799,on sadak par ,hindi
21800,study computer science ,english
21801,"bavini kanugonnanu, ippudu ",telugu
21802,"nan ninaikkiren, inta ",tamil
21803,peattikkarannuvenn nan avalute ,malayalam
21804,"bittalu, i madhye ",kannada
21805,chalte ice cream ,hindi
21806,ib travelling over ,english
21807,naku daham undadu ,telugu
21808,alaippu inke ullatu ,tamil
21809,mesayute arikilekk cenn ,malayalam
21810,rajakumara marudina sanje ,kannada
21811,kay nahi toh ,hindi
21812,2000 miles away ,english
21813,hay varsam mariyu ,telugu
21814,"enru nan ninaikkiren, ",tamil
21815,avale avalute mel ,malayalam
21816,"rapunjelnannu karedukondu hoguttane, ",kannada
21817,main drupe sir ,hindi
21818,to start a ,english
21819,varsam cala utsahanga ,telugu
21820,atutan itai etukkum ,tamil
21821,kitatti tealil nan ,malayalam
21822,rapunjel rapunjel ninna ,kannada
21823,ki tarah karodpati ,hindi
21824,life of my ,english
21825,untundi atanu nitini ,telugu
21826,"enru nan ninaikkiren, ",tamil
21827,attalam kaliccu karanam ,malayalam
21828,"kudalannu kelagilisi, dusta ",kannada
21829,budget ke hisab ,hindi
21830,own i felt ,english
21831,tanikhi ceyadaniki bavula ,telugu
21832,atutan unkal kelvikku ,tamil
21833,avalute hrdayam takarttatin ,malayalam
21834,matagati avalu rapunjelna ,kannada
21835,se main tumhare ,hindi
21836,so relieved i ,english
21837,godapai nivasincina ksananlo ,telugu
21838,patilalikka nankal ippotu ,tamil
21839,sesam enikk ceyyan ,malayalam
21840,kudalininda kattarisida dirgha ,kannada
21841,liye ice cream ,hindi
21842,finally be free ,english
21843,ame byalens kolpoyi ,telugu
21844,"yocittukkontirukkirom, mannikkavum piraku ",tamil
21845,kaliyunna erravum ceriya ,malayalam
21846,viramavannu ilisidalu. mattu ,kannada
21847,hi karite sakata ,hindi
21848,a few weeks ,english
21849,bavilo padipoyindi evaraina ,telugu
21850,unkal skiriptkalai evvaru ,tamil
21851,karyamanit atutta divasam ,malayalam
21852,rajakumaranu tanage enu ,kannada
21853,let's cheers raat ,hindi
21854,later i was ,english
21855,dayacesi naku sahayam ,telugu
21856,"tervu ceyvatu amam, ",tamil
21857,ravile nan enre ,malayalam
21858,apaya kadide endu ,kannada
21859,ke samay sun ,hindi
21860,all packed ready ,english
21861,ceyandi idi nijanga ,telugu
21862,ovvoru muraiyum nan ,tamil
21863,muriyilekk peayi megan ,malayalam
21864,tiliyade rajakumaranu gopuravannu ,kannada
21865,san sadak par ,hindi
21866,to leave my ,english
21867,"lotuga undi, nenu ",telugu
21868,kontapuram katalait terntetuppatarku ,tamil
21869,ituvare peayittilla at ,malayalam
21870,"hattidanu, rajakumaranu kitakiyolage ",kannada
21871,dono ek doosre ,hindi
21872,family came to ,english
21873,i samipanloni i ,telugu
21874,munpu unkalukkut teriyum ,tamil
21875,vicitramayirunnu olinna apparttmenril ,malayalam
21876,"pravesisalu horatiddanu, dusta ",kannada
21877,se baatein karte ,hindi
21878,see me off ,english
21879,pradesam nundi ela ,telugu
21880,vevveru tevaikal illai ,tamil
21881,nan unarunnat kealin ,malayalam
21882,matagatiyu gopurada kelagiruva ,kannada
21883,hue chelpati or ,hindi
21884,at the airport ,english
21885,bayatapadatanu? nakka bagane ,telugu
21886,ii polutupokkup patam ,tamil
21887,suprabhatam aval suprabhatam ,malayalam
21888,mullina podegalige gopurada ,kannada
21889,achanak with key ,hindi
21890,as the plane ,english
21891,unna manusula daggaraku ,telugu
21892,"ceyya virumpinen, intap ",tamil
21893,parannu innale ratri ,malayalam
21894,kareyannu noduva saluvagi ,kannada
21895,kadam ruk ja ,hindi
21896,took off i ,english
21897,vellindi he nakka ,telugu
21898,patattin italai nan ,tamil
21899,nan ninnalkk asvasthatayuntakkiyenkil ,malayalam
21900,vyaparavannu kattarisidanu. avana ,kannada
21901,thaher or alvira ,hindi
21902,imagined binnu independence ,english
21903,nuvvu i bavi ,telugu
21904,"makilvikka virumpukiren, appotutan ",tamil
21905,ksamikkanam enn nan ,malayalam
21906,kannugalu mullugalu avanannu ,kannada
21907,kehte hain kya ,hindi
21908,as a college ,english
21909,lopala em cestunnavu ,telugu
21910,enakku intap patam ,tamil
21911,marupati nalki enre ,malayalam
21912,sampurnavagi kurudagisidavu ha ,kannada
21913,hua so much ,hindi
21914,student when i ,english
21915,bangaram bayata cala ,telugu
21916,kitaittatu enpatu unkalukkut ,tamil
21917,vikarannal ivite maraccuvekkan ,malayalam
21918,ha ha ha ,kannada
21919,anna karoge tum ,hindi
21920,arrived on campus ,english
21921,vediga undi kada ,telugu
21922,"teriyum, atanal ella ",tamil
21923,nan matuttu nan ,malayalam
21924,matagati rajakumarana mele ,kannada
21925,hari manjhi lage ,hindi
21926,i realised that ,english
21927,ani nenu i ,telugu
21928,nerankalilum munnurimai ch ,tamil
21929,ninnalkk oru prabhatabhaksanam ,malayalam
21930,mata mantravannu maditu ,kannada
21931,tum bahut achhe ,hindi
21932,i forgot the ,english
21933,lokanloki vaccanu enduku ,telugu
21934,ankes ippotu enatu ,tamil
21935,pakk ceytu karanam ,malayalam
21936,mattu avanu yavude ,kannada
21937,insaan ho ladki ,hindi
21938,most important task ,english
21939,nuvvu kuda ala ,telugu
21940,munnurimaikal oru polutupokku ,tamil
21941,ninnalkk inn neratte ,malayalam
21942,sait illade prapancadadyanta ,kannada
21943,bahut kismat wali ,hindi
21944,on my to ,english
21945,jaragakudadani mariyu i ,telugu
21946,"nikalcciyai ceyya ventam, ",tamil
21947,klas labhiccuvenn enikkariyam ,malayalam
21948,padagalalli ascaryacakitanadanu mattu ,kannada
21949,ho gayi jise ,hindi
21950,do list i ,english
21951,kul and riphres ,telugu
21952,enave ippotu nan ,tamil
21953,aval nandi parannu ,malayalam
21954,kalape paristhitiyalli badukulidanu ,kannada
21955,tumhara pyar milega ,hindi
21956,had registered for ,english
21957,ga anandincandi niru ,telugu
21958,inta piram'mantamana kontapuram ,tamil
21959,megan enikk' nan ,malayalam
21960,mattu ade samayadalli ,kannada
21961,dono ek dusre ,hindi
21962,a dorm room ,english
21963,okka ksanam kuda ,telugu
21964,lo janiliruntu murrilum ,tamil
21965,sarikkum vaikippeayi ninnale ,malayalam
21966,2 varsagala kala ,kannada
21967,ki ankhon me ,hindi
21968,i found my ,english
21969,alocincakunda kod baviloki ,telugu
21970,"marupatta onrait tetukiren, ",tamil
21971,pinnit kanam enn ,malayalam
21972,prins vrtta mattu ,kannada
21973,jate hue gaelic ,hindi
21974,way to the ,english
21975,dukindi miru ceppindi ,telugu
21976,enave ippotu nan ,tamil
21977,nan parannu enre ,malayalam
21978,duhkhadinda badukulidanu mattu ,kannada
21979,jaate hain aur ,hindi
21980,student center and ,english
21981,nijame i niru ,telugu
21982,"ceykiren, atu murrilum ",tamil
21983,klas'silekk natakkunnatinitayil nan ,malayalam
21984,antimavagi avanu sikkidanu ,kannada
21985,tabiyat jannat alvira ,hindi
21986,asked if they ,english
21987,nijaniki cala riphres‌ga ,telugu
21988,marupatta sona. itu ,tamil
21989,vatilkkal ninn purattekk ,malayalam
21990,rapunjel‌ninda marubhumiyu matagatiyinda ,kannada
21991,aasman just mehsoos ,hindi
21992,can help well ,english
21993,undi nenu na ,telugu
21994,"patattirku patam marukiratu, ",tamil
21995,oti oru putiya ,malayalam
21996,ulidukonditu yavude lalo ,kannada
21997,karte hui bahan ,hindi
21998,all of the ,english
21999,rojanta ikkade gadapagalanu ,telugu
22000,inru mutal namakku ,tamil
22001,sthalam kantettanamenn nan ,malayalam
22002,iddakkiddante tanna priyatameya ,kannada
22003,se chali jati ,hindi
22004,rooms are fully ,english
22005,konta samayam tarvata ,telugu
22006,name caval vitum ,tamil
22007,cinticcu enre phean ,malayalam
22008,sundaravada duhkhada dhvaniyannu ,kannada
22009,hai aur preet ,hindi
22010,booked honey set ,english
22011,meka agi nakkanu ,telugu
22012,"vakaiyil irukka ventum, ",tamil
22013,ring atayirunnu sandra ,malayalam
22014,kelidanu mattu kugu ,kannada
22015,could see kehta ,hindi
22016,an old lady ,english
22017,adugutundi prapancam ela ,telugu
22018,enave ninkal mutalil ,tamil
22019,hey klas'sin mump ,malayalam
22020,mattu utsahavannu prarambhisidanu ,kannada
22021,hai yeh kya ,hindi
22022,who is sitting ,english
22023,nirvahincabadutundo okka ksanam ,telugu
22024,"vakaiyai mutivu ceytu, ",tamil
22025,laibrarikk atutt enne ,malayalam
22026,adare hudugare eke ,kannada
22027,kar diya maine ,hindi
22028,at a desk ,english
22029,veci undandi i ,telugu
